DATE,MKTGDPHKA646NWDB,,"Current U.S. Dollars,
Not Seasonally Adjusted"
1960/1/1,1320796652,,
1961/1/1,1383681651,,
1962/1/1,1612346412,,
1963/1/1,1935298266,,
1964/1/1,2206466461,,
1965/1/1,2435078534,,
1966/1/1,2489845017,,
1967/1/1,2692474989,,
1968/1/1,2716964388,,
1969/1/1,3189740055,,
1970/1/1,3800766536,,
1971/1/1,4476001946,,
1972/1/1,5710090213,,
1973/1/1,8030117556,,
1974/1/1,9388695367,,
1975/1/1,10048089558,,
1976/1/1,12876366009,,
1977/1/1,15719433719,,
1978/1/1,18315136409,,
1979/1/1,22526184533,,
1980/1/1,28861857811,,
1981/1/1,31055226089,,
1982/1/1,32291215844,,
1983/1/1,29907227184,,
1984/1/1,33511383986,,
1985/1/1,35699772166,,
1986/1/1,41075396885,,
1987/1/1,50622896163,,
1988/1/1,59707404561,,
1989/1/1,68790219178,,
1990/1/1,76928784621,,
1991/1/1,88959997900,,
1992/1/1,1.04273E+11,,
1993/1/1,1.20354E+11,,
1994/1/1,1.35812E+11,,
1995/1/1,1.44652E+11,,
1996/1/1,1.59718E+11,,
1997/1/1,1.77353E+11,,
1998/1/1,1.68885E+11,,
1999/1/1,1.65768E+11,,
2000/1/1,1.71669E+11,,
2001/1/1,1.69404E+11,,
2002/1/1,1.66349E+11,,
2003/1/1,1.61386E+11,,
2004/1/1,1.691E+11,,
2005/1/1,1.81569E+11,,
2006/1/1,1.93535E+11,,
2007/1/1,2.11597E+11,,
2008/1/1,2.19279E+11,,
2009/1/1,2.14048E+11,,
2010/1/1,2.28639E+11,,
2011/1/1,2.48514E+11,,
2012/1/1,2.62629E+11,,
2013/1/1,2.75697E+11,,
2014/1/1,2.9146E+11,,
2015/1/1,3.09386E+11,,
2016/1/1,3.2086E+11,,
2017/1/1,3.41273E+11,,
2018/1/1,3.61731E+11,,
2019/1/1,3.63075E+11,,
2020/1/1,3.44943E+11,,
2021/1/1,3.68954E+11,,
2022/1/1,3.58696E+11,,
2023/1/1,3.82055E+11,,
